,qualifyId,raceId,driverId,constructorId,number,position_indiv,position_team,Fastest_Qual,year,round,Rainfall,Air Temp,Track Temp,Wind Speed,Single,Throttle,Brake
117,7654,994,840,3,18,18,15.5,01:13.3,2018,6,Dry,26.60895522,47.45373134,1.120895522,No,86.2652925128827,0.8033343437405275
118,7655,994,825,210,20,19,17.0,01:13.4,2018,6,Dry,26.60895522,47.45373134,1.120895522,No,83.13228250985146,0.7661109427099121
119,7656,994,830,9,33,20,10.5,00:00.0,2018,6,Dry,26.60895522,47.45373134,1.120895522,No,102.87141558047894,0.9891482267353744
120,7657,994,822,131,77,5,4.0,01:11.4,2018,6,Dry,26.60895522,47.45373134,1.120895522,No,58.49008790542589,0.49918157017277964
121,7658,994,839,10,31,6,7.5,01:12.1,2018,6,Dry,26.60895522,47.45373134,1.120895522,No,49.56962715974538,0.45486511063958773
122,7659,994,807,4,27,11,9.5,01:12.4,2018,6,Dry,26.60895522,47.45373134,1.120895522,No,54.333131251894514,0.4772355259169445
123,7660,995,20,6,5,1,3.0,01:10.8,2018,7,Dry,23.17878788,43.43484848,2.021212121,No,64.25899543378995,0.4989954337899543
124,7661,995,822,131,77,2,3.0,01:10.9,2018,7,Dry,23.17878788,43.43484848,2.021212121,No,77.44675799086758,0.61662100456621
125,7662,995,830,9,33,3,4.5,01:10.9,2018,7,Dry,23.17878788,43.43484848,2.021212121,No,61.202739726027396,0.4798173515981735
126,7663,995,1,131,44,4,3.0,01:11.0,2018,7,Dry,23.17878788,43.43484848,2.021212121,No,78.47263318112633,0.5889802130898021
127,7664,995,8,6,7,5,3.0,01:11.1,2018,7,Dry,23.17878788,43.43484848,2.021212121,No,56.720182648401824,0.3956164383561644
128,7665,995,817,9,3,6,4.5,01:11.1,2018,7,Dry,23.17878788,43.43484848,2.021212121,No,60.47896499238965,0.4411567732115677
129,7666,995,807,4,27,7,8.0,01:11.9,2018,7,Dry,23.17878788,43.43484848,2.021212121,No,42.86666666666667,0.31403348554033483
130,7667,995,839,10,31,8,9.0,01:12.1,2018,7,Dry,23.17878788,43.43484848,2.021212121,No,69.01357686453576,0.5829528158295282
131,7668,995,832,4,55,9,8.0,01:12.1,2018,7,Dry,23.17878788,43.43484848,2.021212121,No,55.1475799086758,0.43208523592085235
132,7669,995,815,10,11,10,9.0,01:12.4,2018,7,Dry,23.17878788,43.43484848,2.021212121,No,81.9378386605784,0.7128767123287671
133,7670,995,843,5,28,12,14.0,01:12.6,2018,7,Dry,23.17878788,43.43484848,2.021212121,No,70.11805175038052,0.5484322678843226
134,7671,995,4,1,14,14,14.5,01:12.9,2018,7,Dry,23.17878788,43.43484848,2.021212121,No,79.93759512937595,0.676468797564688
135,7672,995,838,1,2,15,14.5,01:12.9,2018,7,Dry,23.17878788,43.43484848,2.021212121,No,66.03689497716896,0.548675799086758
